dataset,metric,model,value
tourism_monthly,smape,SeasonalNaive,0.10834946483373642
tourism_monthly,time,SeasonalNaive,0.8656539916992188
nn5_daily_without_missing,mase,SeasonalNaive,1.01128351688385
nn5_daily_without_missing,scaled_crps,SeasonalNaive,0.5351702570915222
nn5_daily_without_missing,smape,SeasonalNaive,0.1323523074388504
nn5_daily_without_missing,time,SeasonalNaive,0.8820436000823975
cif_2016,mase,SeasonalNaive,1.2892906665802002
cif_2016,scaled_crps,SeasonalNaive,0.05627785623073578
cif_2016,smape,SeasonalNaive,0.09435854852199554
cif_2016,time,SeasonalNaive,0.6720998287200928
weather,mase,SeasonalNaive,0.7546040415763855
weather,scaled_crps,SeasonalNaive,0.7023248672485352
weather,smape,SeasonalNaive,0.21257363259792328
weather,time,SeasonalNaive,19.921792030334473
exchange_rate,mase,SeasonalNaive,1.5238498449325562
exchange_rate,scaled_crps,SeasonalNaive,0.015771478414535522
exchange_rate,smape,SeasonalNaive,0.0046619814820587635
exchange_rate,time,SeasonalNaive,0.07465958595275879
nn5_weekly,mase,SeasonalNaive,1.0628483295440674
nn5_weekly,scaled_crps,SeasonalNaive,0.2558223009109497
nn5_weekly,smape,SeasonalNaive,0.06633929163217545
nn5_weekly,time,SeasonalNaive,0.8124842643737793
m3_other,mase,SeasonalNaive,1.474166989326477
m3_other,scaled_crps,SeasonalNaive,0.0699438527226448
m3_other,smape,SeasonalNaive,0.04127650335431099
m3_other,time,SeasonalNaive,0.8086843490600586
m3_yearly,mase,SeasonalNaive,3.171710252761841
m3_yearly,scaled_crps,SeasonalNaive,0.1569410264492035
m3_yearly,smape,SeasonalNaive,0.08939944952726364
m3_yearly,time,SeasonalNaive,0.8375515937805176
m1_quarterly,mase,SeasonalNaive,2.0775363445281982
m1_quarterly,scaled_crps,SeasonalNaive,0.14308704435825348
m1_quarterly,smape,SeasonalNaive,0.09471869468688965
m1_quarterly,time,SeasonalNaive,0.8360691070556641
m3_monthly,mase,SeasonalNaive,1.1462045907974243
m3_monthly,scaled_crps,SeasonalNaive,0.1657581329345703
m3_monthly,smape,SeasonalNaive,0.08619551360607147
m3_monthly,time,SeasonalNaive,0.9040136337280273
ett_small_15min,mase,SeasonalNaive,0.7677330374717712
ett_small_15min,scaled_crps,SeasonalNaive,0.14303477108478546
ett_small_15min,smape,SeasonalNaive,0.09459813684225082
ett_small_15min,time,SeasonalNaive,0.42166805267333984
fred_md,mase,SeasonalNaive,1.1008000373840332
fred_md,scaled_crps,SeasonalNaive,0.0821569636464119
fred_md,smape,SeasonalNaive,0.07294856011867523
fred_md,time,SeasonalNaive,0.8718762397766113
m4_yearly,mase,SeasonalNaive,3.9659550189971924
m4_yearly,scaled_crps,SeasonalNaive,0.13235539197921753
m4_yearly,smape,SeasonalNaive,0.08176717162132263
m4_yearly,time,SeasonalNaive,1.2796871662139893
weather,mase,StatisticalEnsemble,0.674612283706665
weather,scaled_crps,StatisticalEnsemble,0.20688533782958984
weather,smape,StatisticalEnsemble,0.3116028904914856
weather,time,StatisticalEnsemble,4159.202305555344
traffic,mase,StatisticalEnsemble,1.1630656719207764
traffic,scaled_crps,StatisticalEnsemble,0.3527117073535919
traffic,smape,StatisticalEnsemble,0.17923693358898163
traffic,time,StatisticalEnsemble,12285.943104982376
tourism_yearly,mase,StatisticalEnsemble,3.2765285968780518
tourism_yearly,scaled_crps,StatisticalEnsemble,0.11124735325574875
tourism_yearly,smape,StatisticalEnsemble,0.18379995226860046
tourism_yearly,time,StatisticalEnsemble,51.09554839134216
tourism_quarterly,mase,StatisticalEnsemble,1.5062906742095947
tourism_quarterly,scaled_crps,StatisticalEnsemble,0.057616736739873886
tourism_quarterly,smape,StatisticalEnsemble,0.07241813838481903
tourism_quarterly,time,StatisticalEnsemble,69.27116632461548
tourism_monthly,mase,StatisticalEnsemble,1.4412840604782104
tourism_monthly,scaled_crps,StatisticalEnsemble,0.07189073413610458
tourism_monthly,smape,StatisticalEnsemble,0.09152483195066452
tourism_monthly,time,StatisticalEnsemble,343.51249623298645
nn5_weekly,mase,StatisticalEnsemble,0.9735681414604187
nn5_weekly,scaled_crps,StatisticalEnsemble,0.07720480114221573
nn5_weekly,smape,StatisticalEnsemble,0.06025908142328262
nn5_weekly,time,StatisticalEnsemble,51.82877588272095
nn5_daily_without_missing,mase,StatisticalEnsemble,0.8442847728729248
nn5_daily_without_missing,scaled_crps,StatisticalEnsemble,0.1458868384361267
nn5_daily_without_missing,smape,StatisticalEnsemble,0.1051432266831398
nn5_daily_without_missing,time,StatisticalEnsemble,235.89405274391174
m5,mase,StatisticalEnsemble,1.637902021408081
m5,scaled_crps,StatisticalEnsemble,0.5161958336830139
m5,smape,StatisticalEnsemble,0.7164396047592163
m5,time,StatisticalEnsemble,15599.159910917282
m4_yearly,mase,StatisticalEnsemble,3.002131462097168
m4_yearly,scaled_crps,StatisticalEnsemble,0.08138751238584518
m4_yearly,smape,StatisticalEnsemble,0.06746964156627655
m4_yearly,time,StatisticalEnsemble,197.22365260124207
m4_quarterly,mase,StatisticalEnsemble,1.1422548294067383
m4_quarterly,scaled_crps,StatisticalEnsemble,0.06161952018737793
m4_quarterly,smape,StatisticalEnsemble,0.04968598857522011
m4_quarterly,time,StatisticalEnsemble,408.36936593055725
m3_yearly,mase,StatisticalEnsemble,2.7043943405151367
m3_yearly,scaled_crps,StatisticalEnsemble,0.10304266959428787
m3_yearly,smape,StatisticalEnsemble,0.07998260110616684
m3_yearly,time,StatisticalEnsemble,53.38477635383606
m3_quarterly,mase,StatisticalEnsemble,1.1637909412384033
m3_quarterly,scaled_crps,StatisticalEnsemble,0.053420066833496094
m3_quarterly,smape,StatisticalEnsemble,0.04616156220436096
m3_quarterly,time,StatisticalEnsemble,60.618295669555664
m3_other,mase,StatisticalEnsemble,0.7270562648773193
m3_other,scaled_crps,StatisticalEnsemble,0.02686503157019615
m3_other,smape,StatisticalEnsemble,0.021632280200719833
m3_other,time,StatisticalEnsemble,57.05862808227539
m3_monthly,mase,StatisticalEnsemble,0.8261972069740295
m3_monthly,scaled_crps,StatisticalEnsemble,0.07751429826021194
m3_monthly,smape,StatisticalEnsemble,0.0671410784125328
m3_monthly,time,StatisticalEnsemble,155.55655646324158
m1_yearly,mase,StatisticalEnsemble,3.5743300914764404
m1_yearly,scaled_crps,StatisticalEnsemble,0.09226992726325989
m1_yearly,smape,StatisticalEnsemble,0.08812646567821503
m1_yearly,time,StatisticalEnsemble,49.355894327163696
m1_quarterly,mase,StatisticalEnsemble,1.593941569328308
m1_quarterly,scaled_crps,StatisticalEnsemble,0.06983963400125504
m1_quarterly,smape,StatisticalEnsemble,0.07840260118246078
m1_quarterly,time,StatisticalEnsemble,56.2299280166626
m1_monthly,mase,StatisticalEnsemble,1.033646821975708
m1_monthly,scaled_crps,StatisticalEnsemble,0.12133494764566422
m1_monthly,smape,StatisticalEnsemble,0.07305245846509933
m1_monthly,time,StatisticalEnsemble,84.9643406867981
hospital,mase,StatisticalEnsemble,0.7480322122573853
hospital,scaled_crps,StatisticalEnsemble,0.04690057039260864
hospital,smape,StatisticalEnsemble,0.0859002098441124
hospital,time,StatisticalEnsemble,78.93767881393433
fred_md,mase,StatisticalEnsemble,0.4888947010040283
fred_md,scaled_crps,StatisticalEnsemble,0.03489921614527702
fred_md,smape,StatisticalEnsemble,0.05230932682752609
fred_md,time,StatisticalEnsemble,235.2371735572815
exchange_rate,mase,StatisticalEnsemble,1.4286563396453857
exchange_rate,scaled_crps,StatisticalEnsemble,0.006739513948559761
exchange_rate,smape,StatisticalEnsemble,0.004447247367352247
exchange_rate,time,StatisticalEnsemble,259.485315322876
ett_small_1h,mase,StatisticalEnsemble,1.0027005672454834
ett_small_1h,scaled_crps,StatisticalEnsemble,0.12273886799812317
ett_small_1h,smape,StatisticalEnsemble,0.13055233657360077
ett_small_1h,time,StatisticalEnsemble,4206.250416517258
ercot,mase,StatisticalEnsemble,1.9786392450332642
ercot,scaled_crps,StatisticalEnsemble,0.05034084618091583
ercot,smape,StatisticalEnsemble,0.040072016417980194
ercot,time,StatisticalEnsemble,5119.78323841095
dominick,mase,StatisticalEnsemble,0.8480237126350403
dominick,scaled_crps,StatisticalEnsemble,0.5287644863128662
dominick,smape,StatisticalEnsemble,0.7822940945625305
dominick,time,StatisticalEnsemble,981.5631330013275
covid_deaths,mase,StatisticalEnsemble,5.245666027069092
covid_deaths,scaled_crps,StatisticalEnsemble,0.02451254241168499
covid_deaths,smape,StatisticalEnsemble,0.05388602241873741
covid_deaths,time,StatisticalEnsemble,86.33263063430786
cif_2016,mase,StatisticalEnsemble,0.9181912541389465
cif_2016,scaled_crps,StatisticalEnsemble,0.02095171809196472
cif_2016,smape,StatisticalEnsemble,0.05813302472233772
cif_2016,time,StatisticalEnsemble,83.17000889778137
car_parts_without_missing,mase,StatisticalEnsemble,1.0504775047302246
car_parts_without_missing,scaled_crps,StatisticalEnsemble,1.131853699684143
car_parts_without_missing,smape,StatisticalEnsemble,0.8966268301010132
car_parts_without_missing,time,StatisticalEnsemble,110.57487416267395
australian_electricity_demand,mase,StatisticalEnsemble,1.2154099941253662
australian_electricity_demand,scaled_crps,StatisticalEnsemble,0.05847305804491043
australian_electricity_demand,smape,StatisticalEnsemble,0.05538288876414299
australian_electricity_demand,time,StatisticalEnsemble,12602.871942281723
